ABC‐boek | ABC-book
Barbadaans | Barbadian
Barbadaanse | Barbadianwoman
Barbadiaan | Barbadian
Barbarĳe | Barbery
Barbarĳs | barbaric
Barcelona | Barcelona
Barentsz‐zee | BarentszSea
Bargoens | gibberish
Barnabas | Barnabas
Bartholomeus | Bartolomew
Bartholomeusnacht | MassacreofSaintBartholomew
Bask | Basque
Baskenland | BasqueCountry
Baskische taal | Basque
Bataaf | Batavian
Bataafs | Batavian
Bataafse Republiek | BatavianRepublic
Batavia | Batavia
Batavier | Batavian
Baäl | Baal
Beaufortzee | BeaufortSea
Bedoeïen | Bedouin
Beetsjoeanaland | Bechuanaland
Beier | Bavarian
Beieren | Bavaria
Beiers | Bavarian
Beiroet | Beyrouth
Belg | Belgian
Belgisch | Belgian
Belgische | Belgian
België | Belgium
Belgrado | Belgrade
Belizaan | Belizian
Belizaans | Belizian
Belizaanse | Belizian
Belize | Belize
Bellona | Bellona
Benedictus | Ben
Benelux | Benelux
Bengaals vuur | bengal‐light
Bengalees | Bangladeshi
Bengalen | Bengal
Bengalese | Bangladeshi
Beniner | Beninese
Benins | Beninese
Beninse | Beninesewoman
Benjamin | Benjamin
Beotië | Beotia
Berber | Berber
Bereneiland | BearIsland
Beringstraat | BeringStrait
Beringzee | BeringSea
Bering Zee | BeringSea
Berlĳn | Berlin
Berlĳner | Berliner
Berlĳns | Berlin
Berlĳnse | Berliner
Bermuda Eilanden | Bermudas
Bern | Berne
Berner | Bernese
Bessarabië | Bessarabia
Bethlehem | Bethlehem
Bhoetaan | Bhutanese
Bhoetaans | Bhutanese
Bhoetaanse | Bhutanese woman
Binnen‐Mongolië | InnerMongolia
Birma | Burma
Birmaan | Burmese
Birmaans | Burmese
Birmaanse | Burmesewoman
Biskaje | Biscay
Bissau | Bissau
Blauwbaard | Bluebeard
Blauwe Nĳl | BlueNile
Bloemfontein | Bloemfontein
Bodenmeer | Bodensee
Boedapest | Budapest
Boeddha | Buddha
Boeg | Bug
Boekarest | Bucharest
Boer | Afrikaner
Boeroendees | Burundian
Boeroendese | Burundianwoman
Boeroendi | Burundi
Boetan | Bhutan
Boheems | Bohemian
Bohemen | Bohemia
Bohemer | Bohemian
Bolivia | Bolivia
Boliviaan | Bolivian
Boliviaans | Bolivian
Boliviaanse | Bolivianwoman
Bombay | Bombay
Bondsrepubliek | GermanFederalRepublic
Bondsrepubliek Duitsland | German Federal Republic
Boogschutter | Sagittarius
Borneo | Borneo
Bosjesman | Bushman
Bosnisch | Bosnian
Bosnische | Bosnian woman
Bosnië‐Hercegovina | Bosnia‐Hercegovina
Bosnië | Bosnia
Bosniër | Bosnian
Botnische Golf | Gulf of Bothnia
Botswaan | Botswanan
Botswaans | Botswanan
Botswaanse | Botswanan woman
Botswana | Bechuanaland
Bourgondisch | Burgundian
Bourgondië | Burgundy
Bourgondiër | Burgundian
Bovenmeer | Lake Superior
Brabander | Brabantine
Brabant | Brabant
Brabants | Brabantine
Bramapoetra | Bramaputra
Braziliaan | Brazilian
Braziliaans | Brazilian
Braziliaanse | Brazilianwoman
Brazilië | Brazil
Bretagne | Bretagne
Breton | Breton
Brit | Briton
Brits‐Columbia | British Columbia
Brits | British
Britse Maagdeneilanden | BritishVirginIslands
Brittannië | Britain
Brugge | Bruges
Brunei | Brunei
Bruneier | Bruneian
Bruneis | Bruneian
Bruneise | Bruneian woman
Brunhilde | Brunhild
Brunswĳk | Brunswick
Brussel | Brussels
Brussels | Brussels
Bulgaar | Bulgar
Bulgaars | Bulgarian
Bulgaarse | Bulgarian woman
Bulgarĳe | Bulgaria
Byzantium | Byzantium
Byzantĳn | Byzantine
Byzantĳns | Byzantine
Byzantĳnse Rĳk | Byzantine Empire
Bĳbel | Bible
CD‐ROM | CD‐ROM
Caesar | Caesar
Cairo | Cairo
Calabrië | Calabria
Caledonisch | Caledonian
Caledoniër | Caledonian
Californisch | Californian
Californië | California
Californiër | Californian
Callisto | Callisto
Calvĳn | Calvin
Calypso | Calypso
Cambodja | Cambodia
Cambodjaan | Cambodian
Cambodjaans | Cambodian
Cambodjaanse | Cambodian woman
Camelot | Camelot
Canada | Canada
Canadees | Canadian
Canadese | Canadian woman
Canarisch | Canary
Canarische Eilanden | Canary Islands
Cantabrisch | Cantabrian
Capitool | Capitol
Caraïbisch | Caribbean
Carboon | Carboniferous
Caribische Zee | Caribbean Sea
Carmelieter monnik | Carmelite
Carmelieter non | Carmelite
Carthaags | Carthaginian
Carthager | Carthaginian
Carthago | Carthage
Cassandra | Cassandra
Cassiopea | Cassiopeia
Cassiopeia | Cassiopeia
Castiliaan | Castilian
Castilliaans | Castillian
Castillië | Castile
Castor | Castor
Catalaan | Catalonian
Catalonië | Catalonia
Cato | Cato
Caïro | Cairo
Celebes | Celebes
Celebeszee | Celebes Sea
Celsius | Celsius
Centraal‐Azië | Central Asia
Centraalafrikaanse Republiek | Central African Republic
Cerberus | Cerberus
Ceres | Ceres
Ceylon | Ceylon
Ceylonees | Ceylonese
Ceylons | Ceylonese
Chagoseilanden | Chagos Islands
Chaldea | Chaldea
Chaldeeër | Chaldean
Charon | Charon
Chartoem | Khartoum
Charybdis | Charybdis
Chileen | Chilean
Chileens | Chilean
Chileense | Chileanwoman
Chili | Chile
Chimaera | Chimera
China | China
Chinees Nieuwjaar | ChineseNewYear
Chinees klokje | forsythia
Chinese taal | Chinese
Christus | Christ
Cicero | Cicero
Circassië | Circassia
Circe | Circe
Cleopatra | Cleopatra
Cocos Eilanden | CocosIslands
Colombia | Colombia
Colombiaan | Colombian
Colombiaans | Colombian
Colombiaanse | Colombianwoman
Columbus | Columbus
Comoren | ComoroIslands
Confucius | Confucius
Congo | Congo
Congolees | Congolese
Corantĳn | Corantin
Corinthe | Corinth
Corinthisch | Corinthian
Corsica | Corsica
Corsicaan | Corsican
Corsicaans | Corsican
Corsicaanse | Corsicanwoman
Costaricaan | CostaRican
Costaricaans | CostaRican
Costa Brava | CostaBrava
Costa Rica | CostaRica
Creools | Creole
Cronus | Cronus
Cuba | Cuba
Cubaan | Cuban
Cubaans | Cuban
Cupido | Cupid
Curaçao | Curaçao
Cybebe | Cybele
Cybele | Cybele
Cycladen | Cyclades
Cyprioot | Cypriot
Cypriotisch | Cypriot
Cypriotische | Cyprianwoman
Cyprus | Cyprus
DDR | EastGermany
DNA | DNA
Dacca | Dacca
Dagestaans | Dagestan
Dagestan | Daghestan
Dagon | Dagon
Dahomey | Dahomey
Dakar | Dakar
Dalecarlië | Dalecarlia
Dalmatië | Dalmatia
Dalmatiër | Dalmatian
Damascus | Damascus
Damocles | Damocles
Daphne | Daphne
David | David
Deen | Dane
Deense | Danishwoman
Deense taal | Danish
Dekan | Deccan
Delft | Delft
Delfts | Delft
Delhi | Delhi
Delphi | Delphi
Demeter | Demeter
Denemarken | Denmark
Den Bosch | Bois‐le‐Duc
Den Haag | TheHague
Deuteronomium | Deuteronomy
Diana | Diana
Diets | MiddleDutch
Diluvium | Diluvium
Diogenes | Diogenes
Djibouti | Djibouti
Dode Zee | DeadSea
Dolomieten | Dolomites
Dominica | Dominica
Dominicaan | Dominican
Dominicaans | Dominican
Dominicaanse Republiek | DominicanRepublic
Dominicus | Dominica
Don | Don
Donau | Danube
Donjets | Donetz
Don Juan | DonJuan
Don Quichot | DonQuixote
Dorenroosje | theSleepingBeauty
Dorisch | Dorian
Drakensbergen | DrakensbergMountains
Driekoningen | Epiphany
Drievuldigheidsdag | TrinitySunday
Drieëenheid | Trinity
Duinkerke | Dunkirk
Duinkerken | Dunkirk
Duitse | German
Duitser | German
Duitse Democratische Republiek | EastGermany
Duitse herder | Alsatian
Duitse taal | German
Duitsgezind | pro‐German
Duitsland | Germany
Duivelseiland | Devil'sIsland
Dzjoengarĳe | Dzungaria
EHBO‐er | first‐aider
EHBO‐post | first‐aidstation
EHBO | firstaid
E‐snaar | E‐chord
Ebro | Ebro
Echo | Echo
Ecuador | Ecuador
Ecuadoriaans | Ecuadorian
Eden | Eden
Egypte | Egypt
Egyptenaar | Egyptian
Egyptisch | Egyptian
Eiffeltoren | EiffelTower
Elba | Elba
Elbe | Elbe
Elbroes | MountElbrus
Ellice Eilanden | ElliceIslands
Elsalvadoriaan | Salvadorian
Elsalvadoriaans | Salvadorian
Elsalvadoriaanse | Salvadorian
Elyzeese Velden | Elysium
Elzas‐Lotharingen | Alsace‐Lorraine
Elzasser | Alsatian
Elzassisch | Alsatian
El Salvador | ElSalvador
Engeland | England
Engelse | English
Engelse sleutel | monkey‐wrench
Engelse taal | English
Engelsgezind | pro‐English
Engelsman | Englishman
Eoceen | Eocene
Eos | Eos
Equatoriaal Guinea | EquatorialGuinea
Eris | Eris
Eritrea | Eritrea
Eskimo | Eskimo
Esperantist | Esperantist
Esperanto | Esperanto
Est | Estonian
Estland | Estonia
Estlander | Estonian
Estlands | Estonian
Estlandse | Estonianwoman
Ethiopisch | Ethiopian
Ethiopische | Ethiopianwoman
Ethiopië | Abyssinia
Ethiopiër | Ethiopian
Etna | Etna
Etrurisch | Etrurian
Etrurië | Etruria
Etruriër | Etrurian
Etrusk | Etrurian
Etruskisch | Etrurian
Eufraat | Euphrates
Europeaan | European
Europees | European
Europese Unie | EuropeanUnion
Eva | Eva
Exodus | Exodus
FM‐ontvanger | FMreceiver
FM‐zender | FMtransmitter
Fafner | Fafner
Falklandeilanden | FalklandIslands
Fenrir | Fenris
Fiji Eilanden | FijiIslands
Filippino | Filipino
Filippĳn | Filipino
Filippĳnen | PhilippineIslands
Filippĳns | Philippine
Filippĳnse | Philippinewoman
Filistĳn | Philistine
Fin | Finn
Finland | Finland
Finse | Finnish
Finse Golf | GulfofFinland
Finse taal | Finnish
Florence | Florence
Florida | Florida
Formosa | Formosa
Fortuna | Fortune
Frankenland | Franconia
Frankfort | Frankfort
Frankfort aan de Main | FrankfortupontheMain
Frankrĳk | France
Franse | Frenchwoman
Franse Rivièra | Riviera
Franse sex | oralsex
Franse taal | French
Fransman | Frenchman
Frans Guyana | FrenchGuiana
Frans Polynesië | FrenchPolynesia
Française | Frenchwoman
Fries | Frisian
Friesland | Friesland
Friezin | Frisian
Gabon | Gabon
Gaelisch | Gaelic
Gaelische taal | Gaelic
Galicië | Galicia
Galilea | Galilee
Gallicisch | Galician
Gallisch | Gallic
Gallië | Gaul
Galliër | Gaul
Galápagoseilanden | GalápagosIslands
Gambia | Gambia
Ganges | Ganges
Ganymedes | Ganymede
Gasconjer | Gascon
Gelderland | Guelderland
Gelders | Guelders
Gelderse roos | Guelderrose
Gele Rivier | YellowRiver
Gele Zee | YellowSea
Genesis | Genesis
Gent | Ghent
Genua | Genoa
Genève | Geneva
Georgisch | Georgian
Georgië | Georgia
Georgiër | Georgian
Geraamtekust | SkeletonCoast
Geraardsbergen | Grammont
Germaan | German
Germaans | Germanic
Ghana | Ghana
Gibraltar | Gibraltar
Gideon | Gideon
Gilbert Eilanden | GilbertIslands
Gilgamesj | Gilgamesh
God | God
Goede Vrĳdag | GoodFriday
Gog | Gog
Golf van Aden | GulfofAden
Golf van Bengalen | BayofBengal
Golf van Biskaje | BayofBiscay
Golf van Californië | GulfofCalifornia
Golf van Genua | GulfofGenoa
Golf van Mexico | GulfofMexico
Golf van Oman | GulfofOman
Golf van Panama | GulfofPanama
Golf van Thailand | GulfofThailand
Golf van Valencia | GulfofValencia
Golf van Venezuela | GulfofVenezuela
Golgotha | Calvary
Goliath | Goliath
Goot | Goth
Gordiaans | Gordian
Gotenburg | Gothenburg
Gotisch | Gothic
Goudkust | GoldCoast
Graal | Grail
Graalridder | GrailKnight
Gratie | Grace
Grendel | Grendel
Griek | Greek
Griekenland | Greece
Grieks | Greek
Griekse | Greekwoman
Griekse seks | analsex
Groenland | Greenland
Groenlander | Greenlander
Groenlands | Greenland
Groenlandzee | GreenlandSea
Groezië | Georgia
Groeziër | Georgian
Groot‐Brittannië | Britain
Groot‐Mokum | Amsterdam
Groot Berenmeer | GreatBearLake
Groot Slavenmeer | GreatSlaveLake
Grote Antillen | GreaterAntilles
Grote Oceaan | Pacific
Grote Verzoendag | DayofAtonement
Grote Zoutmeer | GreatSaltLake
Guatemala | Guatemala
Guatemalteek | Guatemalan
Guatemalteeks | Guatemalan
Guinea | Guinea
Guinee | Guinea
Guinees | Guinea
Guinees biggetje | guinea‐pig
Gulden Vlies | GoldenFleece
Guyana | Guyana
H‐bom | H‐bomb
Haags | Hague
Hades | Hades
Hamburg | Hamburg
Hannibal | Hannibal
Hannover | Hanover
Hanoi | Hanoi
Hanze | Hanse
Havanna | Havana
Hawaii | Hawaii
Hawaiiaans | Hawaiian
Haïti | Haiti
Hebreeuws | Hebrew
Hebreeuwse taal | Hebrew
Hebreeër | Hebrew
Hebriden | Hebrides
Hecate | Hecate
Hector | Hector
Heiland | Saviour
Helena | Helen
Hellas | Hellas
Helleen | Greek
Helleens | Hellenian
Helsinki | Helsinki
Helvetië | Helvetia
Helvetiër | Helvetian
Hemelvaart | Ascension
Hera | Hera
Hercules | Heracles
Hermes | Hermes
Hernhutter | Moravian
Hervorming | Reformation
Hesperus | Hesperus
Hestia | Hestia
Het Kanaal | Channel
Himalaya | Himalayas
Hippocrates | Hippocrates
Hispaniola | Hispaniola
Hispanië | Spain
Hoek van Holland | HookofHolland
Holland | Holland
Hollander | Dutchman
Hollands | Dutch
Homerus | Homer
Honduras | Honduras
Hondurees | Honduran
Hondurese | Honduranwoman
Hongaar | Hungarian
Hongaars | Hungarian
Hongaarse | Hungarian
Hongarĳe | Hungary
Hongkong | Hongkong
Hong Kong | Hongkong
Honoloeloe | Honolulu
Honte | WesternSkeldt
Hooglander | Highlander
Hooglied | Canticles
Horus | Horus
Hudsonbaai | HudsonBay
Hudsonstraat | HudsonStrait
Huronmeer | LakeHuron
Hydra | Hydra
Hypnos | Hypnos
IC | integratedcircuit
IQ | I.Q.
Iberisch | Iberian
Ieper | Ypres
Ier | Irishman
Ierland | Ireland
Iers | Irish
Ierse | Iriswoman
Ierse Zee | IrishSea
Ilias | Iliad
Imhotep | Imhotep
India | India
Indiaan | Indian
Indiaans | Indian
Indiaas | Indian
Indiase | Indian
Indische Oceaan | IndianOcean
Indische papegaai | macaw
Indische vĳgenboom | banyan
Indisch riet | bamboo
Indië | DutchEastIndies
Indiër | Indian
Indo‐China | Indo‐China
Indo‐europeaan | Indo‐European
Indo‐europees | Indo‐European
Indogermaans | Indo‐European
Indonesisch | Indonesian
Indonesische | Indonesianwoman
Indonesië | Indonesia
Indonesiër | Indonesian
Indra | Indra
Indus | Indus
Ingoesj | Ingush
Ingoesjië | Ingushia
Io | Io
Iraaks | Iraqi
Iraans | Iranian
Iraanse | Iranianwoman
Irak | Iraq
Irakees | Iraqi
Iran | Iran
Iraniër | Iranian
Irene | Irene
Iris | Iris
Isis | Isis
Isjtar | Ishtar
Israel | Israel
Israeliet | Israelite
Israelische | Israeliwoman
Israelitisch | Israelite
Israël | Israel
Israëlische | Israeliwoman
Istanboel | Istanbul
Istrië | Istria
Italiaan | Italian
Italiaanse | Italianwoman
Italiaanse Rivièra | ItalianRiviera
Italiaanse bloemkool | broccoli
Italiaanse taal | Italian
Italië | Italy
Ithaca | Ithaca
Ivoorkust | IvoryCoast
Ivriet | ModernHebrew
Jacob | Jacob
Jacobus | Jacob
Jalta | Yalta
Jamaica | Jamaica
Jangtsekiang | Yangtse‐Kiang
Janus | Janus
Jan Klaassen | Punch
Jap | Jap
Japan | Japan
Japannees | Japanese
Japanner | Japanese
Japanse | Japanesewoman
Japanse Zee | SeaofJapan
Japanse taal | Japanese
Jason | Jason
Java | Java
Javaan | Javanese
Javaans | Javan
Javaanse | Javanesewoman
Javazee | JavaSea
Jehova | Jehovah
Jehova's getuige | Jehovah'sWitness
Jemen | Yemen
Jemeniet | Yemeni
Jemenitisch | Yemeni
Jemenitische | Yemeniwoman
Jericho | Jericho
Jersey | Jersey
Jeruzalem | Jerusalem
Jezus Christus | JesusChrist
Jiddisch | Yiddish
Joegoslaaf | Yugoslav
Joegoslavisch | Yugoslav
Joegoslavische | Yugoslavwoman
Joegoslavië | Yugoslavia
Joelfeest | Yule
Johannesburg | Johannesburg
Jongere Steentĳd | Neolithic
Jonisch | Ionian
Jood | Jew
Jordaan | Jordan
Jordanië | Jordan
Jordaniër | Jordanian
Jozef | Joseph
Jozua | Joshua
Juno | Juno
Jupĳn | Jupiter
Jura | Jurassic
Justitia | Justice
Jut | Jute
Jutland | Jutland
Kaapprovincie | CapeProvince
Kaaps | Cape
Kaapse ezel | zebra
Kaapstad | CapeTown
Kaapverdische Eilanden | CapeVerdeIslands
Kaap de Goede Hoop | CapeofGoodHope
Kaboel | Kabul
Kameroen | Cameroon
Kameroens | Cameroon
Kanaaleilanden | ChannelIslands
Kanaän | Canaan
Karel de Grote | Charlemagne
Karische Zee | KarianSea
Karpaten | Carpathians
Kasjmir | Kashmir
Kaspische Zee | CaspianSea
Katar | Katar
Kattegat | Kattegat
Kaukasus | Caucasus
Kazachstaans | Kazak
Kazachstan | Kazakhstan
Kaïn | Cain
Kaïnsteken | brandofCain
Kelt | Celt
Kenia | Kenya
Keniaan | Kenyan
Keniaans | Kenyan
Keniaanse | Kenyanwoman
Kenozoïcum | Caenozoic
Kerguelen | Kerguelen
Kerstman | FatherChristmas
Kerstmis | Christmas
Keulen | Cologne
Keulse pot | Colognepot
Kirgizisch | Kyrgyz
Kirgizië | Kirghizia
Kiëv | Kieff
Klaas Vaak | theDustman
Klein‐Azië | Anatolia
Klein‐Mokum | Rotterdam
Kleine Antillen | LesserAntilles
Klein Duimpje | TomThumb
Koerd | Kurd
Koerdisch | Kurdish
Koerdistan | Kurdistan
Koerilen | KurileIslands
Koeweit | Kuwait
Komen | Comine
Kongolees | Congolese
Koningin Charlotte Eilanden | QueenCharlotteIslands
Kopenhagen | Copenhagen
Koran | Koran
Korea | Korea
Koreaan | Korean
Koreaans | Korean
Koreaanse | Koreanwoman
Kortrĳk | Courtrai
Kreeft | Cancer
Kremlin | Kremlin
Kreta | Crete
Kretenzer | Cretan
Krim | Crimea
Krisjna | Krishna
Kroaat | Croat
Kroatisch | Croatian
Kroatië | Croatia
Krĳt | Cretaceous
LPG | liquefiedpetroleumgas
LP | LP
LSD | acid
L.P.G. | liquefiedpetroleumgas
Laagduits | LowGerman
Laccadiven | Laccadives
Laos | Laos
Laotiaan | Laotian
Laotiaanse taal | Lao
Lap | Laplander
Lapland | Lapland
Laplander | Laplander
Laplands | Lapp
Laplandse | Lappishwoman
Laptjevzee | SeaofLaptev
Latĳn | Latin
Latĳns‐Amerika | LatinAmerica
Latĳns | Latin
Leda | Leda
Leger des Heils | SalvationArmy
Leiden | Leyden
Leidse fles | Leydenjar
Leitmotiv | leitmotif
Lesotho | Lesotho
Let | Latvian
Lethe | Lethe
Letland | Latvia
Lets | Latvian
Letse | Latvianwoman
Leuven | Louvain
Levant | Levant
Levantĳn | Levantine
Levantĳns | Levantine
Leviet | Levite
Lias | Lias
Libanees | Lebanese
Libanon | Lebanon
Libanongebergte | Lebanon
Liberia | Liberia
Liberiaan | Liberian
Liberiaans | Liberian
Liberiaanse | Liberianwoman
Libisch | Libyan
Libische | Lybianwoman
Libië | Libya
Libiër | Libyan
Liechtenstein | Liechtenstein
Liechtensteiner | Liechtensteiner
Lier | Lyra
Ligurische Zee | LigurianSea
Lissabon | Lisbon
Litouwen | Lithuania
Litouwer | Lithuanian
Litouws | Lithuanian
Litouwse | Lithuanianwoman
Lofoten | LofotenIslands
Loki | Loki
Londen | London
Londenaar | Londoner
Loofhuttenfeest | FeastofTabernacles
Lorelei | Lorelei
Lotharingen | Lorraine
Luik | Liège
Luxemburg | Luxemburg
Luxemburger | Luxemburger
Luxemburgs | Luxemburg
Luxor | Luxor
Lycië | Lycia
Lyciër | Lycian
Lydisch | Lydian
Lydië | Lydia
Lydiër | Lydian
Lĳfland | Livonia
Lĳflander | Livonian
Lĳflands | Livonian
Maagd | Virgo
Maagdeneilanden | VirginIslands
Maas | Meuse
Maasstad | Rotterdam
Maastricht | Maestricht
Macedonisch | Macedonian
Macedonië | Macedonia
Macedoniër | Macedonian
Machiavelli | Machiavelli
Mackenzierivier | Mackenzie
Madagascar | Madagascar
Madagaskisch | Madagascan
Madeira | Madeira
Madonna | Madonna
Madrid | Madrid
Magdalena | Magdalena
Magdalenien | Magdalenian
Magog | Magog
Magyaar | Magyar
Majorca | Majorca
Makkabeeën | Maccabees
Malagasië | Madagascar
Malagassisch | Madagascan
Malakka | Malacca
Malawi | Malawi
Malawimeer | LakeMalawi
Malawisch | Malawian
Malawiër | Malawian
Malediven | MaldiveIslands
Maledivisch | Maldivian
Malediviër | Maldivian
Maleier | Malay
Maleis | Malay
Maleisisch | Malaysian
Maleisië | Malaysia
Maleisiër | Malaysian
Mali | Mali
Malinees | Malian
Malisch | Malian
Malische | Malianwoman
Malta | Malta
Maltezer | Maltese
Mammon | Mammon
Mandsjoerĳns | Manchurian
Manilla | Manila
Manitobameer | LakeManitoba
Mantsjoe | Manchurian
Mantsjoerĳe | Manchuria
Mantsjoerĳns | Manchurian
Maori‐taal | Maori
Maori | Maori
Marcus | Marcus
Maria‐Boodschap | Annunciation
Maria‐Hemelvaart | Assumption
Maria‐Lichtmis | Candlemas
Maria | Mary
Marianen | MarianaIslands
Marianeneilanden | MarianaIslands
Marie | Mary
Mark | Marcus
Marke | Marcus
Marokkaan | Moroccan
